,explained_variance_ratio,cumulative_explained_variance
PC1,0.987346,0.987346
PC2,0.012649,0.999995
PC3,5e-06,0.999999
PC4,0.0,1.0
PC5,0.0,1.0
PC6,0.0,1.0
PC7,0.0,1.0
PC8,0.0,1.0
PC9,0.0,1.0
PC10,0.0,1.0
PC11,0.0,1.0
PC12,0.0,1.0
PC13,0.0,1.0
PC14,0.0,1.0
PC15,0.0,1.0
PC16,0.0,1.0
PC17,0.0,1.0
PC18,0.0,1.0
PC19,0.0,1.0
PC20,0.0,1.0
PC21,0.0,1.0
PC22,0.0,1.0
PC23,0.0,1.0
PC24,0.0,1.0
PC25,0.0,1.0
PC26,0.0,1.0
PC27,0.0,1.0
PC28,0.0,1.0
PC29,0.0,1.0
PC30,0.0,1.0
PC31,0.0,1.0
PC32,0.0,1.0
PC33,0.0,1.0
PC34,0.0,1.0
PC35,0.0,1.0
PC36,0.0,1.0
PC37,0.0,1.0
PC38,0.0,1.0
PC39,0.0,1.0
PC40,0.0,1.0
PC41,0.0,1.0
PC42,0.0,1.0
PC43,0.0,1.0
PC44,0.0,1.0
PC45,0.0,1.0
PC46,0.0,1.0
PC47,0.0,1.0
PC48,0.0,1.0
PC49,0.0,1.0
PC50,0.0,1.0
PC51,0.0,1.0
PC52,0.0,1.0
PC53,0.0,1.0
PC54,0.0,1.0
PC55,0.0,1.0
PC56,0.0,1.0
PC57,0.0,1.0
PC58,0.0,1.0
PC59,0.0,1.0
PC60,0.0,1.0
PC61,0.0,1.0
PC62,0.0,1.0
PC63,0.0,1.0
PC64,0.0,1.0
PC65,0.0,1.0
PC66,0.0,1.0
PC67,0.0,1.0
PC68,0.0,1.0
PC69,0.0,1.0
